# IntSight report packet log for interface s6-eth3.
[ 268=> 252:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 269=> 253:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 270=> 254:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0166=>0166(000) bits=01966768=>01966768
[ 271=> 255:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0165=>0165(000) bits=01954920=>01954920
[ 272=> 256:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0166=>0166(000) bits=01966768=>01966768
[ 273=> 257:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0166=>0166(000) bits=01966768=>01966768
[ 274=> 258:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0166=>0166(000) bits=01966768=>01966768
[ 275=> 259:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0166=>0166(000) bits=01966768=>01966768
[ 276=> 260:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0163=>0163(000) bits=01931224=>01931224
[ 277=> 261:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0165=>0165(000) bits=01954920=>01954920
[ 278=> 262:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0168=>0168(000) bits=01990464=>01990464
[ 279=> 263:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 280=> 264:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 281=> 265:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 282=> 266:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0159=>0159(000) bits=01883832=>01883832
[ 283=> 267:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0168=>0168(000) bits=01990464=>01990464
[ 284=> 268:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0168=>0168(000) bits=01990464=>01990464
[ 285=> 269:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0166=>0166(000) bits=01966768=>01966768
[ 286=> 270:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 287=> 271:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0164=>0164(000) bits=01943072=>01943072
[ 288=> 272:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 289=> 273:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 290=> 274:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0166=>0166(000) bits=01966768=>01966768
[ 291=> 275:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0165=>0165(000) bits=01954920=>01954920
