# IntSight report packet log for interface s5-eth3.
[ 212=> 196:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 229=> 197: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0111=>0111(000) bits=01315128=>01315128
[ 213=> 197:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 230=> 198: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0113=>0113(000) bits=01338824=>01338824
[ 214=> 198:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 231=> 199: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0112=>0112(000) bits=01326976=>01326976
[ 215=> 199:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0081=>0081(000) bits=00959688=>00959688
[ 232=> 200: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0111=>0111(000) bits=01315128=>01315128
[ 216=> 200:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 233=> 201: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0110=>0110(000) bits=01303280=>01303280
[ 217=> 201:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 234=> 202: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0110=>0110(000) bits=01303280=>01303280
[ 218=> 202:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 235=> 203: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0111=>0111(000) bits=01315128=>01315128
[ 219=> 203:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0085=>0085(000) bits=01007080=>01007080
[ 236=> 204: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0108=>0108(000) bits=01279584=>01279584
